                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8271,                 3.0942,                 1.6092,                0.01176,                0.19328,                0.01634,                0.00646,                  2.129,                 3.3843,                 1.6497,                0.00016,                0.00016,                0.00016
                      1,                 1.5982,                 2.4171,                 1.4475,                0.01543,                0.42017,                0.01522,                0.00647,                 2.3253,                 3.2792,                  1.829,             0.00033832,             0.00033832,             0.00033832
                      2,                 1.6603,                 1.7866,                 1.4289,                0.10494,                0.05042,                0.02541,                0.01044,                 2.3756,                 3.2041,                 1.7671,             0.00051485,             0.00051485,             0.00051485
                      3,                 1.6437,                 1.5893,                 1.4143,                 0.1292,                0.10924,                0.05525,                0.02268,                 2.3548,                  2.913,                 1.7168,              0.0006896,              0.0006896,              0.0006896
                      4,                 1.6306,                 1.5163,                 1.3917,                0.11299,                0.08403,                0.04712,                 0.0219,                 2.4879,                 3.6971,                 1.7765,             0.00086258,             0.00086258,             0.00086258
                      5,                 1.5725,                 1.4546,                 1.3643,                0.22258,                0.09244,                0.07964,                0.03412,                 2.5506,                 2.7084,                 1.8085,              0.0010338,              0.0010338,              0.0010338
                      6,                 1.6453,                 1.4743,                 1.3956,                0.17597,                0.05025,                0.05764,                0.02475,                 2.6029,                 3.0862,                 1.7931,              0.0012032,              0.0012032,              0.0012032
                      7,                 1.6409,                 1.5089,                 1.3876,                  0.092,                0.10924,                0.04159,                0.01404,                 2.6569,                 3.3001,                 1.7344,              0.0013708,              0.0013708,              0.0013708
                      8,                 1.6556,                 1.4986,                 1.4121,                0.08841,                0.10084,                0.03047,                0.01137,                 2.9222,                 3.1275,                 2.3922,              0.0015366,              0.0015366,              0.0015366
                      9,                 1.5977,                 1.4433,                 1.3906,                0.06054,                0.05042,                0.01475,                 0.0053,                 2.8447,                  4.122,                 2.9388,              0.0017007,              0.0017007,              0.0017007
                     10,                  1.705,                 1.5336,                 1.4243,                 0.0555,                0.02521,                 0.0105,                0.00388,                 3.1108,                 3.6765,                 2.4372,               0.001863,               0.001863,               0.001863
                     11,                 1.7083,                 1.5006,                 1.4318,                0.18934,                0.11765,                0.05376,                0.01517,                 2.7754,                 2.7477,                 2.2802,              0.0018911,              0.0018911,              0.0018911
                     12,                 1.6883,                 1.4598,                 1.4064,                0.05954,                0.09244,                0.02737,                0.00998,                 2.7987,                 4.1808,                   2.24,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.6467,                 1.4372,                 1.4157,                0.14718,                0.18487,                0.06086,                0.02293,                 2.9029,                 3.1282,                  2.495,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.6803,                 1.4849,                 1.4428,                0.08469,                0.09244,                0.03285,                 0.0121,                 2.7896,                 3.5131,                 2.2264,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.6544,                 1.4572,                 1.4154,                0.19527,                0.10924,                0.06751,                0.03385,                 2.6293,                 2.5289,                 2.0268,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.6039,                 1.4086,                 1.3938,                0.14454,                0.13445,                0.04288,                0.01352,                 2.6967,                 2.8534,                 2.0826,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.5426,                 1.3761,                 1.3678,                0.08111,                0.04202,                0.01806,                 0.0056,                 3.1554,                 3.7761,                 2.4803,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.6099,                  1.399,                 1.3831,                0.18167,                0.16807,                0.09112,                0.03484,                 2.6551,                   2.32,                 1.7671,              0.0018317,              0.0018317,              0.0018317
                     19,                  1.573,                 1.3862,                 1.3597,                0.15126,                0.13445,                0.04398,                0.01388,                 2.9715,                 3.0194,                 2.2504,              0.0018218,              0.0018218,              0.0018218
                     20,                  1.522,                 1.3119,                 1.3318,                0.16188,                0.21849,                0.07465,                0.03174,                 2.7668,                 2.5463,                 1.9513,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.5438,                 1.3268,                 1.3597,                0.18417,                0.15126,                0.09038,                 0.0356,                 2.6744,                 3.0077,                 1.8575,               0.001802,               0.001802,               0.001802
                     22,                 1.5581,                 1.3241,                 1.3604,                0.08665,                0.10924,                0.03433,                0.01157,                 2.8393,                 2.8769,                 1.9062,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.5469,                 1.3503,                 1.3759,                0.11559,                0.17647,                0.05926,                0.02296,                 2.5253,                 2.5089,                 1.8095,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.5103,                 1.3194,                 1.3399,                0.10236,                0.08403,                0.04447,                0.01602,                 2.8024,                 2.8556,                 1.9418,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.5673,                 1.3039,                 1.3315,                0.06792,                0.08403,                0.02838,                0.01062,                 3.1131,                 3.3866,                 2.1373,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.5132,                 1.2943,                 1.3287,                0.10237,                0.14286,                0.04079,                0.01393,                 2.7549,                 2.9105,                 1.8148,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.5378,                 1.2719,                 1.3254,                0.14878,                0.19328,                0.07795,                0.02351,                 2.7174,                 2.4868,                 1.6879,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.4453,                 1.2207,                 1.3139,                0.19596,                0.13445,                0.11757,                0.04218,                 2.6592,                 2.3041,                 1.7281,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.4555,                 1.2568,                  1.327,                0.15985,                0.14286,                0.07263,                0.02495,                 2.5879,                 2.4679,                 1.8898,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.4049,                  1.209,                 1.3056,                0.06485,                0.09244,                0.03459,                0.01061,                 2.9121,                 2.9952,                 2.1828,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.4572,                 1.2158,                 1.3085,                0.19084,                0.18487,                0.09449,                0.03517,                 2.5793,                 2.5387,                 1.8961,               0.001703,               0.001703,               0.001703
                     32,                 1.4761,                 1.2287,                 1.3233,                0.17823,                0.21008,                0.10032,                  0.038,                 2.4384,                 2.5708,                 1.6918,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.4457,                 1.2222,                 1.3021,                0.14653,                0.14286,                0.04902,                0.01676,                 2.6532,                 2.6975,                 1.9469,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.4516,                  1.259,                 1.3287,                0.18798,                0.20168,                0.08382,                 0.0288,                 2.4851,                 2.4859,                 1.7145,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4197,                 1.2274,                 1.2865,                0.24972,                0.15966,                0.12028,                 0.0478,                 2.3804,                 2.3885,                 1.6198,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.5091,                 1.2406,                 1.3351,                0.18462,                0.10084,                0.05271,                0.01698,                 2.8279,                 2.8444,                  1.799,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4314,                 1.1816,                 1.2807,                0.16326,                0.18487,                0.09687,                0.04514,                 2.4027,                 2.2618,                 1.6592,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4868,                 1.2312,                 1.3036,                0.04058,                0.07563,                0.02681,                0.01129,                 2.7685,                 2.7912,                 1.8636,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4853,                 1.2687,                 1.3133,                0.15632,                0.08403,                0.04497,                0.01642,                 2.9188,                 2.6452,                 1.9547,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4474,                 1.2232,                 1.2976,                0.18766,                0.14286,                0.07961,                0.03121,                 2.7208,                 2.4131,                 1.9251,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4913,                 1.2006,                  1.307,                 0.1547,                0.18487,                0.09943,                0.04747,                 2.4267,                 2.3098,                 1.7714,               0.001604,               0.001604,               0.001604
                     42,                 1.3651,                 1.1295,                 1.2484,                0.08289,                0.13445,                0.04331,                0.01416,                 2.9799,                   2.78,                 2.2782,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4027,                 1.1441,                 1.2704,                0.15053,                0.14286,                0.07568,                0.02953,                 2.6576,                 2.4126,                 1.7781,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3568,                 1.1096,                 1.2567,                0.13574,                0.15966,                0.05744,                0.01785,                 2.5401,                  2.577,                 1.8106,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.3966,                 1.1984,                 1.2837,                0.10813,                0.06723,                 0.0459,                0.01788,                 2.5781,                 2.5575,                 1.8925,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3341,                 1.1292,                 1.2394,                0.09089,                0.06723,                0.02981,                0.00996,                 2.8626,                 3.0751,                  2.184,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.4063,                 1.1617,                  1.274,                 0.1142,                0.16807,                 0.0697,                0.02604,                 2.6622,                  2.351,                 1.7538,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3595,                 1.1016,                 1.2508,                 0.1997,                0.15966,                0.08209,                0.03391,                 2.7025,                 2.3958,                 1.7798,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4146,                 1.1229,                 1.2725,                0.18397,                0.15126,                0.11385,                0.03655,                 2.6744,                 2.3419,                 1.7658,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.3909,                 1.1257,                  1.253,                0.17405,                0.16807,                0.08554,                0.03161,                 2.5684,                 2.5763,                  1.781,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.3989,                 1.1237,                 1.2504,                0.12232,                0.15126,                0.06289,                0.02497,                 2.5673,                 2.6453,                 1.8585,               0.001505,               0.001505,               0.001505
